Approved_symbol	Chromosome	NCBI_Gene_ID	Chromosome_number	Arm_name	Region_name	Chromosome_arm
OSTC	4q25	58505	4	q	25	4q
OSTCP1	6q25.3	202459	6	q	25.3	6q
OSTCP2	1p36.11	646567	1	p	36.11	1p
OSTCP3	19q13.42	646557	19	q	13.42	19q
OSTCP4	4q25	645264	4	q	25	4q
OSTCP7	17q12	100874391	17	q	12	17q
OSTF1	9q21.13	26578	9	q	21.13	9q
OSTF1P1	12q24.21	386654	12	q	24.21	12q
OSTM1	6q21	28962	6	q	21	6q
OSTM1-AS1	6q21	100287366	6	q	21	6q
OSTN	3q28	344901	3	q	28	3q
OTC	Xp11.4	5009	X	p	11.4	Xp
OTOA	16p12.2	146183	16	p	12.2	16p
OTOAP1	16p12.2	653786	16	p	12.2	16p
OTOF	2p23.3	9381	2	p	23.3	2p
OTOG	11p15.1	340990	11	p	15.1	11p
OTOGL	12q21.31	283310	12	q	21.31	12q
OTOL1	3q26.1	131149	3	q	26.1	3q
OTOP1	4p16.3	133060	4	p	16.3	4p
OTOP2	17q25.1	92736	17	q	25.1	17q
OTOP3	17q25.1	347741	17	q	25.1	17q
OTOR	20p12.1	56914	20	p	12.1	20p
OTOS	2q37.3	150677	2	q	37.3	2q
OTP	5q14.1	23440	5	q	14.1	5q
OTUB1	11q13.1	55611	11	q	13.1	11q
OTUB2	14q32.12	78990	14	q	32.12	14q
OTUD1	10p12.2	220213	10	p	12.2	10p
OTUD3	1p36.13	23252	1	p	36.13	1p
OTUD4	4q31.21	54726	4	q	31.21	4q
OTUD4P1	12p13.32	360227	12	p	13.32	12p
OTUD5	Xp11.23	55593	X	p	11.23	Xp
OTUD6A	Xq13.1	139562	X	q	13.1	Xq
OTUD6B	8q21.3	51633	8	q	21.3	8q
OTUD6B-AS1	8q21.3	100506365	8	q	21.3	8q
OTUD7A	15q13.3	161725	15	q	13.3	15q
OTUD7B	1q21.2	56957	1	q	21.2	1q
OTULIN	5p15.2	90268	5	p	15.2	5p
OTULIN-DT	5p15.2	728178	5	p	15.2	5p
OTULINL	5p15.2	54491	5	p	15.2	5p
OTX1	2p15	5013	2	p	15	2p
OTX2	14q22.3	5015	14	q	22.3	14q
OTX2-AS1	14q22.3	100309464	14	q	22.3	14q
OTX2P1	9q21.13	100033409	9	q	21.13	9q
OTX2P2	2q22.3	100419816	2	q	22.3	2q
OVAAL	1q25.3	148756	1	q	25.3	1q
OVCA2	17p13.3	124641	17	p	13.3	17p
OVCH1	12p11.22	341350	12	p	11.22	12p
OVCH1-AS1	12p11.22	101055625	12	p	11.22	12p
OVCH2	11p15.4	341277	11	p	15.4	11p
OVGP1	1p13.2	5016	1	p	13.2	1p
OVOL1	11q13.1	5017	11	q	13.1	11q
OVOL1-AS1	11q13.1	101927828	11	q	13.1	11q
OVOL2	20p11.23	58495	20	p	11.23	20p
OVOL3	19q13.12	728361	19	q	13.12	19q
OXA1L	14q11.2	5018	14	q	11.2	14q
OXA1L-DT	14q11.2	105370404	14	q	11.2	14q
OXCT1	5p13.1	5019	5	p	13.1	5p
OXCT1-AS1	5p13.1	100874002	5	p	13.1	5p
OXCT2	1p34.2	64064	1	p	34.2	1p
OXCT2P1	1p34.3	192217	1	p	34.3	1p
OXER1	2p21	165140	2	p	21	2p
OXGR1	13q32.1	27199	13	q	32.1	13q
OXLD1	17q25.3	339229	17	q	25.3	17q
OXNAD1	3p25.1-p24.3	92106	3	p	25.1	3p
OXR1	8q23.1	55074	8	q	23.1	8q
OXR1-AS1	8q23.1	105375700	8	q	23.1	8q
OXSM	3p24.2	54995	3	p	24.2	3p
OXSR1	3p22.2	9943	3	p	22.2	3p
OXT	20p13	5020	20	p	13	20p
OXTR	3p25.3	5021	3	p	25.3	3p
P2RX1	17p13.2	5023	17	p	13.2	17p
P2RX2	12q24.33	22953	12	q	24.33	12q
P2RX3	11q12.1	5024	11	q	12.1	11q
P2RX4	12q24.31	5025	12	q	24.31	12q
P2RX5	17p13.2	5026	17	p	13.2	17p
P2RX5-TAX1BP3	17p13.2	100533970	17	p	13.2	17p
P2RX6	22q11.21	9127	22	q	11.21	22q
P2RX6P	22q11.21	440799	22	q	11.21	22q
P2RX7	12q24.31	5027	12	q	24.31	12q
P2RY1	3q25.2	5028	3	q	25.2	3q
P2RY2	11q13.4	5029	11	q	13.4	11q
P2RY4	Xq13.1	5030	X	q	13.1	Xq
P2RY6	11q13.4	5031	11	q	13.4	11q
P2RY8	Xp22.33 and Yp11.3	286530	X	p	22.33	Xp
P2RY10	Xq21.1	27334	X	q	21.1	Xq
P2RY10BP	Xq21.1	449518	X	q	21.1	Xq
P2RY11	19p13.2	5032	19	p	13.2	19p
P2RY12	3q25.1	64805	3	q	25.1	3q
P2RY13	3q25.1	53829	3	q	25.1	3q
P2RY14	3q25.1	9934	3	q	25.1	3q
P3H1	1p34.2	64175	1	p	34.2	1p
P3H2	3q28	55214	3	q	28	3q
P3H2-AS1	3q28	101929152	3	q	28	3q
P3H3	12p13.31	10536	12	p	13.31	12p
P3H4	17q21.2	10609	17	q	21.2	17q
P3R3URF	1p34.1	110117498	1	p	34.1	1p
P3R3URF-PIK3R3	1p34.1	110117499	1	p	34.1	1p
P4HA1	10q22.1	5033	10	q	22.1	10q
P4HA2	5q31.1	8974	5	q	31.1	5q
P4HA3	11q13.4	283208	11	q	13.4	11q
P4HA3-AS1	11q13.4	101928580	11	q	13.4	11q
P4HB	17q25.3	5034	17	q	25.3	17q
P4HTM	3p21.31	54681	3	p	21.31	3p
PA2G4	12q13.2	5036	12	q	13.2	12q
PA2G4P1	Xq24	389884	X	q	24	Xq
PA2G4P2	20p12.1	170533	20	p	12.1	20p
PA2G4P3	18q11.2	619212	18	q	11.2	18q
PA2G4P4	3q25.31	647033	3	q	25.31	3q
PA2G4P5	6q21	389424	6	q	21	6q
PA2G4P6	9q22.2	646083	9	q	22.2	9q
PAAF1	11q13.4	80227	11	q	13.4	11q
PABIR1	9q21.11	116224	9	q	21.11	9q
PABIR2	Xq26.3	159090	X	q	26.3	Xq
PABIR3	Xq26.3	159091	X	q	26.3	Xq
PABPC1	8q22.3	26986	8	q	22.3	8q
PABPC1L	20q13.12	80336	20	q	13.12	20q
PABPC1L2A	Xq13.2	340529	X	q	13.2	Xq
PABPC1L2B	Xq13.2	645974	X	q	13.2	Xq
PABPC1L2B-AS1	Xq13.1-q13.2	101928345	X	q	13.1	Xq
PABPC1P1	4p14	26980	4	p	14	4p
PABPC1P2	2q22.3	728773	2	q	22.3	2q
PABPC1P3	Xq13.2	26978	X	q	13.2	Xq
PABPC1P4	12q14.2	341315	12	q	14.2	12q
PABPC1P5	Yq11.21	100131374	Y	q	11.21	Yq
PABPC1P6	2p11.1	100128696	2	p	11.1	2p
PABPC1P7	4q24	100128183	4	q	24	4q
PABPC1P8	10q11.21	100132766	10	q	11.21	10q
PABPC1P9	22q11.1	100130338	22	q	11.1	22q
PABPC1P10	3q25.31	285314	3	q	25.31	3q
PABPC1P12	10p11.1	100129604	10	p	11.1	10p
PABPC1P13	16p11.2	644758	16	p	11.2	16p
PABPC3	13q12.13	5042	13	q	12.13	13q
PABPC4	1p34.3	8761	1	p	34.3	1p
PABPC4-AS1	1p34.3	101929516	1	p	34.3	1p
PABPC4L	4q28.3	132430	4	q	28.3	4q
PABPC5	Xq21.31	140886	X	q	21.31	Xq
PABPC5-AS1	Xq21.31	102724167	X	q	21.31	Xq
PABPN1	14q11.2	8106	14	q	11.2	14q
PABPN1L	16q24.3	390748	16	q	24.3	16q
PABPN1P1	Xq13.1	100420758	X	q	13.1	Xq
PABPN1P2	19q13.41	100420798	19	q	13.41	19q
PABX	Xp22.32	5043	X	p	22.32	Xp
PABY	Yp11.3	5044	Y	p	11.3	Yp
PACC1	1q32.3	55248	1	q	32.3	1q
PACERR	1q31.1	103752588	1	q	31.1	1q
PACRG	6q26	135138	6	q	26	6q
PACRG-AS1	6q26	285796	6	q	26	6q
PACRG-AS2	6q26	101929239	6	q	26	6q
PACRG-AS3	6q26	729658	6	q	26	6q
PACRGL	4p15.31	133015	4	p	15.31	4p
PACS1	11q13.1-q13.2	55690	11	q	13.1	11q
PACS2	14q32.33	23241	14	q	32.33	14q
PACSIN1	6p21.31	29993	6	p	21.31	6p
PACSIN2	22q13.2	11252	22	q	13.2	22q
PACSIN3	11p11.2	29763	11	p	11.2	11p
PADI1	1p36.13	29943	1	p	36.13	1p
PADI2	1p36.13	11240	1	p	36.13	1p
PADI3	1p36.13	51702	1	p	36.13	1p
PADI4	1p36.13	23569	1	p	36.13	1p
PADI6	1p36.13	353238	1	p	36.13	1p
PAEP	9q34.3	5047	9	q	34.3	9q
PAEPP1	9q34.3	138159	9	q	34.3	9q
PAF1	19q13.2	54623	19	q	13.2	19q
PAFAH1B1	17p13.3	5048	17	p	13.3	17p
PAFAH1B1P1	2p11.2	7845	2	p	11.2	2p
PAFAH1B1P2	2q13	27002	2	q	13	2q
PAFAH1B2	11q23.3	5049	11	q	23.3	11q
PAFAH1B2P1	Xp21.3	139957	X	p	21.3	Xp
PAFAH1B2P2	12q23.1	643711	12	q	23.1	12q
PAFAH1B3	19q13.1	5050	19	q	13.1	19q
PAFAH2	1p36.11	5051	1	p	36.11	1p
PAG1	8q21.13	55824	8	q	21.13	8q
PAGE1	Xp11.23	8712	X	p	11.23	Xp
PAGE2	Xp11.21	203569	X	p	11.21	Xp
PAGE2B	Xp11.21	389860	X	p	11.21	Xp
PAGE3	Xp11.21	139793	X	p	11.21	Xp
PAGE4	Xp11.23	9506	X	p	11.23	Xp
PAGE5	Xp11.21	90737	X	p	11.21	Xp
PAGR1	16p11.2	79447	16	p	11.2	16p
PAH	12q23.2	5053	12	q	23.2	12q
PAICS	4q12	10606	4	q	12	4q
PAICSP1	9p13.2	780814	9	p	13.2	9p
PAICSP2	9q22.31	780815	9	q	22.31	9q
PAICSP3	6q13	780810	6	q	13	6q
PAICSP4	8p23.2	780813	8	p	23.2	8p
PAICSP5	7q35	780811	7	q	35	7q
PAICSP6	7q35	780812	7	q	35	7q
PAICSP7	Xq21.33	780816	X	q	21.33	Xq
PAIP1	5p12	10605	5	p	12	5p
PAIP1P1	6p22.1	100421582	6	p	22.1	6p
PAIP1P2	17p11.2	645139	17	p	11.2	17p
PAIP2	5q31.2	51247	5	q	31.2	5q
PAIP2B	2p13.3	400961	2	p	13.3	2p
PAK1	11q13.5-q14.1	5058	11	q	13.5	11q
PAK1IP1	6p24.2	55003	6	p	24.2	6p
PAK2	3q29	5062	3	q	29	3q
PAK3	Xq23	5063	X	q	23	Xq
PAK4	19q13.2	10298	19	q	13.2	19q
PAK5	20p12.2	57144	20	p	12.2	20p
PAK6	15q15.1	56924	15	q	15.1	15q
PAK6-AS1	15q15.1	644809	15	q	15.1	15q
PALB2	16p12.2	79728	16	p	12.2	16p
PALD1	10q22.1	27143	10	q	22.1	10q
PALLD	4q32.3	23022	4	q	32.3	4q
PALLD-AS1	4q32.3	107986199	4	q	32.3	4q
PALM	19p13.3	5064	19	p	13.3	19p
PALM2AKAP2	9q31.3	445815	9	q	31.3	9q
PALM3	19p13.12	342979	19	p	13.12	19p
PALMD	1p21.2	54873	1	p	21.2	1p
PALS1	14q23.3	64398	14	q	23.3	14q
PALS2	7p15.3	51678	7	p	15.3	7p
PAM	5q21.1	5066	5	q	21.1	5q
PAM16	16p13.3	51025	16	p	13.3	16p
PAMR1	11p13	25891	11	p	13	11p
PAN2	12q13.3	9924	12	q	13.3	12q
PAN3	13q12.2	255967	13	q	12.2	13q
PAN3-AS1	13q12.2	100288730	13	q	12.2	13q
PANCR	4q25	110231149	4	q	25	4q
PANDAR	6p21.2	101154753	6	p	21.2	6p
PANK1	10q23.31	53354	10	q	23.31	10q
PANK1-AS1	10q23.31	105378421	10	q	23.31	10q
PANK2	20p13	80025	20	p	13	20p
PANK2-AS1	20p13	107985395	20	p	13	20p
PANK3	5q34	79646	5	q	34	5q
PANK4	1p36.32	55229	1	p	36.32	1p
PANO1	11p15.5	101927423	11	p	15.5	11p
PANTR1	2q12.1	100506421	2	q	12.1	2q
PANX1	11q21	24145	11	q	21	11q
PANX2	22q13.33	56666	22	q	13.33	22q
PANX3	11q24.2	116337	11	q	24.2	11q
PAOX	10q26.3	196743	10	q	26.3	10q
PAPLN	14q24.2	89932	14	q	24.2	14q
PAPLN-AS1	14q24.2	101928123	14	q	24.2	14q
PAPOLA	14q32.2	10914	14	q	32.2	14q
PAPOLA-DT	14q32.2	730202	14	q	32.2	14q
PAPOLB	7p22.1	56903	7	p	22.1	7p
PAPOLG	2p16.1	64895	2	p	16.1	2p
PAPPA	9q33.1	5069	9	q	33.1	9q
PAPPA-AS1	9q33.2	493913	9	q	33.2	9q
PAPPA2	1q25.2	60676	1	q	25.2	1q
PAPSS1	4q25	9061	4	q	25	4q
PAPSS2	10q23.2-q23.31	9060	10	q	23.2	10q
PAQR3	4q21.21	152559	4	q	21.21	4q
PAQR4	16p13.3	124222	16	p	13.3	16p
PAQR5	15q23	54852	15	q	23	15q
PAQR5-DT	15q23	102723548	15	q	23	15q
PAQR6	1q22	79957	1	q	22	1q
PAQR7	1p36.11	164091	1	p	36.11	1p
PAQR8	6p12.2	85315	6	p	12.2	6p
PAQR9	3q23	344838	3	q	23	3q
PAQR9-AS1	3q23	101927832	3	q	23	3q
PARAIL	8q21.3	101929709	8	q	21.3	8q
PARAL1	20p12.2	101929371	20	p	12.2	20p
PARD3	10p11.22-p11.21	56288	10	p	11.22	10p
PARD3-DT	10p11.21	100505601	10	p	11.21	10p
PARD3B	2q33.3	117583	2	q	33.3	2q
PARD6A	16q22.1	50855	16	q	22.1	16q
PARD6B	20q13.13	84612	20	q	13.13	20q
PARD6BP1	Xq25	100422369	X	q	25	Xq
PARD6G	18q23	84552	18	q	23	18q
PARD6G-AS1	18q23	100130522	18	q	23	18q
PARG	10q11.23	8505	10	q	11.23	10q
PARGP1	10q11.22	728407	10	q	11.22	10q
PARK7	1p36.23	11315	1	p	36.23	1p
PARK7P1	12q13.12	100422296	12	q	13.12	12q
PARK7P2	9q22.32	100422232	9	q	22.32	9q
PARL	3q27.1	55486	3	q	27.1	3q
PARLP1	3q13.33	100129707	3	q	13.33	3q
PARLP2	6q24.2	100131471	6	q	24.2	6q
PARM1	4q13.3	25849	4	q	13.3	4q
PARM1-AS1	4q13.3	100507388	4	q	13.3	4q
PARN	16p13.12	5073	16	p	13.12	16p
PARP1	1q42.12	142	1	q	42.12	1q
PARP1P1	13q34	144	13	q	34	13q
PARP1P2	14q23.2	145	14	q	23.2	14q
PARP2	14q11.2	10038	14	q	11.2	14q
PARP3	3p21.2	10039	3	p	21.2	3p
PARP4	13q12.12	143	13	q	12.12	13q
PARP4P1	Yq11.23-q12	347613	Y	q	11.23	Yq
PARP4P2	13q12.11	645771	13	q	12.11	13q
PARP6	15q23	56965	15	q	23	15q
PARP8	5q11.1	79668	5	q	11.1	5q
PARP9	3q21.1	83666	3	q	21.1	3q
PARP10	8q24.3	84875	8	q	24.3	8q
PARP11	12p13.32	57097	12	p	13.32	12p
PARP11-AS1	12p13.32	105369609	12	p	13.32	12p
PARP12	7q34	64761	7	q	34	7q
PARP14	3q21.1	54625	3	q	21.1	3q
PARP15	3q21.1	165631	3	q	21.1	3q
PARP16	15q22.31	54956	15	q	22.31	15q
PARPBP	12q23.2	55010	12	q	23.2	12q
PARS2	1p32.3	25973	1	p	32.3	1p
PART1	5q12.1	25859	5	q	12.1	5q
PARTICL	2p11.2	100630918	2	p	11.2	2p
PARVA	11p15.3	55742	11	p	15.3	11p
PARVB	22q13.31	29780	22	q	13.31	22q
PARVG	22q13.31	64098	22	q	13.31	22q
PASD1	Xq28	139135	X	q	28	Xq
PASK	2q37.3	23178	2	q	37.3	2q
PATE1	11q24.2	160065	11	q	24.2	11q
PATE2	11q24.2	399967	11	q	24.2	11q
PATE3	11q24.2	100169851	11	q	24.2	11q
PATE4	11q24.2	399968	11	q	24.2	11q
PATJ	1p31.3	10207	1	p	31.3	1p
PATL1	11q12.1	219988	11	q	12.1	11q
PATL1-DT	11q12.1	105369318	11	q	12.1	11q
PATL2	15q21.1	197135	15	q	21.1	15q
PATZ1	22q12.2	23598	22	q	12.2	22q
PAUPAR	11p13	103157000	11	p	13	11p
PAWR	12q21.2	5074	12	q	21.2	12q
PAWRP1	10q23.33	100420526	10	q	23.33	10q
PAWRP2	16p11.2	100420535	16	p	11.2	16p
PAX1	20p11.22	5075	20	p	11.22	20p
PAX2	10q24.31	5076	10	q	24.31	10q
PAX3	2q36.1	5077	2	q	36.1	2q
PAX4	7q32.1	5078	7	q	32.1	7q
PAX5	9p13.2	5079	9	p	13.2	9p
PAX6	11p13	5080	11	p	13	11p
PAX6-AS1	11p13	440034	11	p	13	11p
PAX7	1p36.13	5081	1	p	36.13	1p
PAX8	2q14.1	7849	2	q	14.1	2q
PAX8-AS1	2q14.1	654433	2	q	14.1	2q
PAX9	14q13.3	5083	14	q	13.3	14q
PAXBP1	21q22.11	94104	21	q	22.11	21q
PAXBP1-AS1	21q22.11	100506215	21	q	22.11	21q
PAXIP1	7q36.2	22976	7	q	36.2	7q
PAXIP1-AS2	7q36.2	100132707	7	q	36.2	7q
PAXIP1-DT	7q36.2	202781	7	q	36.2	7q
PAXX	9q34.3	286257	9	q	34.3	9q
PBDC1	Xq13.3	51260	X	q	13.3	Xq
PBK	8p21.1	55872	8	p	21.1	8p
PBLD	10q21.3	64081	10	q	21.3	10q
PBOV1	6q23.3	59351	6	q	23.3	6q
PBRM1	3p21.1	55193	3	p	21.1	3p
PBX1	1q23.3	5087	1	q	23.3	1q
PBX1-AS1	1q23.3	100505795	1	q	23.3	1q
PBX2	6p21.32	5089	6	p	21.32	6p
PBX2P1	3q24	5088	3	q	24	3q
PBX3	9q33.3	5090	9	q	33.3	9q
PBX3-DT	9q33.3	51145	9	q	33.3	9q
PBX4	19p13.11	80714	19	p	13.11	19p
PBXIP1	1q21.3	57326	1	q	21.3	1q
PC	11q13.2	5091	11	q	13.2	11q
PCA3	9q21.2	50652	9	q	21.2	9q
PCARE	2p23.2	388939	2	p	23.2	2p
PCAT1	8q24.21	100750225	8	q	24.21	8q
PCAT2	8q24.21	103164619	8	q	24.21	8q
PCAT4	4q21.21	118425	4	q	21.21	4q
PCAT5	10p11.21	102578074	10	p	11.21	10p
PCAT6	1q32.1	100506696	1	q	32.1	1q
PCAT7	9q22.32	101928099	9	q	22.32	9q
PCAT14	22q11.23	101978785	22	q	11.23	22q
PCAT18	18q11.2	728606	18	q	11.2	18q
PCAT19	19q13.2	100505495	19	q	13.2	19q
PCAT29	15q23	104472713	15	q	23	15q
PCBD1	10q22.1	5092	10	q	22.1	10q
PCBD2	5q31.1	84105	5	q	31.1	5q
PCBP1	2p13.3	5093	2	p	13.3	2p
PCBP1-AS1	2p13.3	400960	2	p	13.3	2p
PCBP2	12q13.13	5094	12	q	13.13	12q
PCBP2-OT1	12q13.13	102157401	12	q	13.13	12q
PCBP2P1	21q22.2	101060045	21	q	22.2	21q
PCBP2P2	8q21.12	286157	8	q	21.12	8q
PCBP2P3	5q14.3	100131236	5	q	14.3	5q
PCBP2P4	3q25.31	100420048	3	q	25.31	3q
PCBP3	21q22.3	54039	21	q	22.3	21q
PCBP3-AS1	21q22.3	100129027	21	q	22.3	21q
PCBP4	3p21.2	57060	3	p	21.2	3p
PCCA	13q32.3	5095	13	q	32.3	13q
PCCA-DT	13q32.3	105370333	13	q	32.3	13q
PCCB	3q22.3	5096	3	q	22.3	3q
PCDH1	5q31.3	5097	5	q	31.3	5q
PCDH7	4p15.1	5099	4	p	15.1	4p
PCDH8	13q14.3	5100	13	q	14.3	13q
PCDH8P1	13q14.3	100133285	13	q	14.3	13q
PCDH9	13q21.32	5101	13	q	21.32	13q
PCDH10	4q28.3	57575	4	q	28.3	4q
PCDH10-DT	4q28.3	101927359	4	q	28.3	4q
PCDH11X	Xq21.31	27328	X	q	21.31	Xq
PCDH11Y	Yp11.2	83259	Y	p	11.2	Yp
PCDH12	5q31.3	51294	5	q	31.3	5q
PCDH15	10q21.1	65217	10	q	21.1	10q
PCDH17	13q21.1	27253	13	q	21.1	13q
PCDH18	4q28.3	54510	4	q	28.3	4q
PCDH19	Xq22.1	57526	X	q	22.1	Xq
PCDH20	13q21.2	64881	13	q	21.2	13q
PCDHA@	5q31	56117	5	q	31	5q
PCDHA1	5q31.3	56147	5	q	31.3	5q
PCDHA2	5q31.3	56146	5	q	31.3	5q
PCDHA3	5q31.3	56145	5	q	31.3	5q
PCDHA4	5q31.3	56144	5	q	31.3	5q
PCDHA5	5q31.3	56143	5	q	31.3	5q
PCDHA6	5q31.3	56142	5	q	31.3	5q
PCDHA7	5q31.3	56141	5	q	31.3	5q
PCDHA8	5q31.3	56140	5	q	31.3	5q
PCDHA9	5q31.3	9752	5	q	31.3	5q
PCDHA10	5q31.3	56139	5	q	31.3	5q
PCDHA11	5q31.3	56138	5	q	31.3	5q
PCDHA12	5q31.3	56137	5	q	31.3	5q
PCDHA13	5q31.3	56136	5	q	31.3	5q
PCDHA14	5q31.3	26307	5	q	31.3	5q
PCDHAC1	5q31.3	56135	5	q	31.3	5q
PCDHAC2	5q31.3	56134	5	q	31.3	5q
PCDHACT	5q31	56119	5	q	31	5q
PCDHB@	5q31	56116	5	q	31	5q
PCDHB1	5q31.3	29930	5	q	31.3	5q
PCDHB1-AS1	5q31.3	101926905	5	q	31.3	5q
PCDHB2	5q31.3	56133	5	q	31.3	5q
PCDHB3	5q31.3	56132	5	q	31.3	5q
PCDHB4	5q31.3	56131	5	q	31.3	5q
PCDHB5	5q31.3	26167	5	q	31.3	5q
PCDHB6	5q31.3	56130	5	q	31.3	5q
PCDHB7	5q31.3	56129	5	q	31.3	5q
PCDHB8	5q31.3	56128	5	q	31.3	5q
PCDHB9	5q31.3	56127	5	q	31.3	5q
PCDHB10	5q31.3	56126	5	q	31.3	5q
PCDHB11	5q31.3	56125	5	q	31.3	5q
PCDHB12	5q31.3	56124	5	q	31.3	5q
PCDHB13	5q31.3	56123	5	q	31.3	5q
PCDHB14	5q31.3	56122	5	q	31.3	5q
PCDHB15	5q31.3	56121	5	q	31.3	5q
PCDHB16	5q31.3	57717	5	q	31.3	5q
PCDHB17P	5q31.3	54661	5	q	31.3	5q
PCDHB18P	5q31.3	54660	5	q	31.3	5q
PCDHB19P	5q31.3	84054	5	q	31.3	5q
PCDHG@	5q31	56115	5	q	31	5q
PCDHGA1	5q31	56114	5	q	31	5q
PCDHGA2	5q31.3	56113	5	q	31.3	5q
PCDHGA3	5q31.3	56112	5	q	31.3	5q
PCDHGA4	5q31	56111	5	q	31	5q
PCDHGA5	5q31	56110	5	q	31	5q
PCDHGA6	5q31	56109	5	q	31	5q
PCDHGA7	5q31	56108	5	q	31	5q
PCDHGA8	5q31.3	9708	5	q	31.3	5q
PCDHGA9	5q31	56107	5	q	31	5q
PCDHGA10	5q31.3	56106	5	q	31.3	5q
PCDHGA11	5q31.3	56105	5	q	31.3	5q
PCDHGA12	5q31.3	26025	5	q	31.3	5q
PCDHGB1	5q31	56104	5	q	31	5q
PCDHGB2	5q31	56103	5	q	31	5q
PCDHGB3	5q31	56102	5	q	31	5q
PCDHGB4	5q31	8641	5	q	31	5q
PCDHGB5	5q31	56101	5	q	31	5q
PCDHGB6	5q31	56100	5	q	31	5q
PCDHGB7	5q31.3	56099	5	q	31.3	5q
PCDHGB8P	5q31.3	56120	5	q	31.3	5q
PCDHGB9P	5q31.3	84055	5	q	31.3	5q
PCDHGC3	5q31.3	5098	5	q	31.3	5q
PCDHGC4	5q31.3	56098	5	q	31.3	5q
PCDHGC5	5q31.3	56097	5	q	31.3	5q
PCDHGCT	5q31	56118	5	q	31	5q
PCED1A	20p13	64773	20	p	13	20p
PCED1B	12q13.11	91523	12	q	13.11	12q
PCED1B-AS1	12q13.11	100233209	12	q	13.11	12q
PCED1CP	2q34	646249	2	q	34	2q
PCF11	11q14.1	51585	11	q	14.1	11q
PCGEM1	2q32.3	64002	2	q	32.3	2q
PCGF1	2p13.1	84759	2	p	13.1	2p
PCGF2	17q12	7703	17	q	12	17q
PCGF3	4p16.3	10336	4	p	16.3	4p
PCGF3-AS1	4p16.3	100129917	4	p	16.3	4p
PCGF5	10q23.32	84333	10	q	23.32	10q
PCGF6	10q24.33	84108	10	q	24.33	10q
PCGF7P	19p12	253272	19	p	12	19p
PCID2	13q34	55795	13	q	34	13q
PCIF1	20q13.12	63935	20	q	13.12	20q
PCK1	20q13.31	5105	20	q	13.31	20q
PCK2	14q11.2-q12	5106	14	q	11.2	14q
PCLAF	15q22.31	9768	15	q	22.31	15q
PCLO	7q21.11	27445	7	q	21.11	7q
PCM1	8p22	5108	8	p	22	8p
PCMT1	6q25.1	5110	6	q	25.1	6q
PCMTD1	8q11.23	115294	8	q	11.23	8q
PCMTD1-DT	8q11.23	102724330	8	q	11.23	8q
PCMTD1P1	Yp11.2	100874520	Y	p	11.2	Yp
PCMTD1P2	16p11.2	100287647	16	p	11.2	16p
PCMTD1P3	7p15.3	100422595	7	p	15.3	7p
PCMTD1P7	20q11.1	107080553	20	q	11.1	20q
PCMTD2	20q13.33	55251	20	q	13.33	20q
PCNA	20p12.3	5111	20	p	12.3	20p
PCNA-AS1	20p12.3	100302739	20	p	12.3	20p
PCNAP1	4q23	359806	4	q	23	4q
PCNAP2	4q23	359805	4	q	23	4q
PCNAP3	Xp11.3	392454	X	p	11.3	Xp
PCNAP4	11p15.1	390102	11	p	15.1	11p
PCNP	3q12.3	57092	3	q	12.3	3q
PCNPP1	12q24.12	654427	12	q	24.12	12q
PCNPP2	9q22.1	100128911	9	q	22.1	9q
PCNPP3	12q14.3	729298	12	q	14.3	12q
PCNPP5	13q14.2	100507361	13	q	14.2	13q
PCNT	21q22.3	5116	21	q	22.3	21q
PCNX1	14q24.2	22990	14	q	24.2	14q
PCNX2	1q42.2	80003	1	q	42.2	1q
PCNX3	11q13.1	399909	11	q	13.1	11q
PCNX4	14q23.1	64430	14	q	23.1	14q
PCNX4-DT	14q23.1	105370524	14	q	23.1	14q
PCOLCE	7q22.1	5118	7	q	22.1	7q
PCOLCE-AS1	7q22.1	100129845	7	q	22.1	7q
PCOLCE2	3q23	26577	3	q	23	3q
PCOTH	13q12.12	542767	13	q	12.12	13q
PCOTHP1	13q12.12	100287275	13	q	12.12	13q
PCP2	19p13.2	126006	19	p	13.2	19p
PCP4	21q22.2	5121	21	q	22.2	21q
PCP4L1	1q23.3	654790	1	q	23.3	1q
PCSK1	5q15	5122	5	q	15	5q
PCSK1N	Xp11.23	27344	X	p	11.23	Xp
PCSK2	20p12.1	5126	20	p	12.1	20p
PCSK4	19p13.3	54760	19	p	13.3	19p
PCSK5	9q21.13	5125	9	q	21.13	9q
PCSK6	15q26.3	5046	15	q	26.3	15q
PCSK7	11q23.3	9159	11	q	23.3	11q
PCSK9	1p32.3	255738	1	p	32.3	1p
PCTP	17q22	58488	17	q	22	17q
PCYOX1	2p13.3	51449	2	p	13.3	2p
PCYOX1L	5q32	78991	5	q	32	5q
PCYT1A	3q29	5130	3	q	29	3q
PCYT1B	Xp22.11	9468	X	p	22.11	Xp
PCYT2	17q25.3	5833	17	q	25.3	17q
PDAP1	7q22.1	11333	7	q	22.1	7q
PDC	1q31.1	5132	1	q	31.1	1q
PDC-AS1	1q31.1	102724919	1	q	31.1	1q
PDCD1	2q37.3	5133	2	q	37.3	2q
PDCD1LG2	9p24.1	80380	9	p	24.1	9p
PDCD2	6q27	5134	6	q	27	6q
PDCD2L	19q13.11	84306	19	q	13.11	19q
PDCD4	10q25.2	27250	10	q	25.2	10q
PDCD4-AS1	10q25.2	282997	10	q	25.2	10q
