NCBI GeneID	Symbol	Description	Common Name	Transcripts
100506811	H3P43	H3 histone pseudogene 43	human	
100506815	FOXP1-IT1	FOXP1 intronic transcript 1	human	
100506826	MYLK-AS1	MYLK antisense RNA 1	human	2
100506827	LINC02475	long intergenic non-protein coding RNA 2475	human	2
100506834	GAS1RR	GAS1 adjacent regulatory RNA	human	1
100506835	LINC00840	long intergenic non-protein coding RNA 840	human	1
100506840	IQCF4P	IQ motif containing F4, pseudogene	human	3
100506851	LOC100506851	uncharacterized LOC100506851	human	12
100506858	LOC100506858	uncharacterized LOC100506858	human	1
100506860	LINC00513	long intergenic non-protein coding RNA 513	human	1
100506869	LOC100506869	uncharacterized LOC100506869	human	1
100506872	RNF7P1	ring finger protein 7 pseudogene 1	human	
100506874	LINC00933	long intergenic non-protein coding RNA 933	human	2
100506881	MKLN1-AS	MKLN1 antisense RNA	human	1
100506885	LNC-LBCS	lncRNA bladder and prostate cancer suppressor, hnRNPK interacting	human	3
100506888	ELOA3DP	elongin A3 family member D, pseudogene	human	
100506895	LUARIS	lncRNA upregulator of antiviral response interferon signaling	human	1
100506897	DAPK1-IT1	DAPK1 intronic transcript 1	human	1
100506898	MAGOH2P	mago homolog 2, pseudogene	human	1
100506901	LL0XNC01-250H12.3	uncharacterized LL0XNC01-250H12.3	human	7
100506907	CFAP100-DT	CFAP100 divergent transcript	human	3
100506911	LOC100506911	chromosome 6 open reading frame 35 pseudogene	human	
100506915	CHRM3-AS2	CHRM3 antisense RNA 2	human	1
100506922	MAP3K2-DT	MAP3K2 divergent transcript	human	6
100506925	HNRNPA1P31	heterogeneous nuclear ribonucleoprotein A1 pseudogene 31	human	
100506929	LOC100506929	uncharacterized LOC100506929	human	6
100506937	LOC100506937	uncharacterized LOC100506937	human	1
100506938	S100A11P4	S100A11 pseudogene 4	human	
100506939	PRKG1-AS1	PRKG1 antisense RNA 1	human	1
100506946	PPIAP70	peptidylprolyl isomerase A pseudogene 70	human	
100506953	FABP7P1	fatty acid binding protein 7 pseudogene 1	human	
100506955	LOC100506955	cancer/testis antigen 83 pseudogene	human	
100506963	ELOA-AS1	ELOA antisense RNA 1	human	1
100506965	PWAR6	Prader Willi/Angelman region RNA 6	human	1
100506974	LOC100506974	uncharacterized LOC100506974	human	9
100506985	NCMAP-DT	NCMAP divergent transcript	human	1
100506990	FAM86B2-DT	FAM86B2 divergent transcript	human	2
100506994	PTPRG-AS1	PTPRG antisense RNA 1	human	3
100506999	LINC02318	long intergenic non-protein coding RNA 2318	human	2
100507002	LOC100507002	uncharacterized LOC100507002	human	1
100507003	GFY	golgi associated olfactory signaling regulator	human	2
100507006	LOC100507006	uncharacterized LOC100507006	human	1
100507012	BMPR1B-DT	BMPR1B divergent transcript	human	1
100507027	MRLN	myoregulin	human	2
100507032	TMCC1-DT	TMCC1 divergent transcript	human	1
100507034	PITRM1-AS1	PITRM1 antisense RNA 1	human	1
100507040	LINC00427	long intergenic non-protein coding RNA 427	human	1
100507044	NBPF5P	NBPF member 5, pseudogene	human	
100507046	HSPE1P3	heat shock protein family E (Hsp10) member 1 pseudogene 3	human	
100507050	TPBGL	trophoblast glycoprotein like	human	1
100507053	LOC100507053	uncharacterized LOC100507053	human	1
100507055	LRCOL1	leucine rich colipase like 1	human	13
100507058	LINC00845	long intergenic non-protein coding RNA 845	human	1
100507059	LINC00703	long intergenic non-protein coding RNA 703	human	3
100507062	PSMD6-AS2	PSMD6 antisense RNA 2	human	1
100507064	TEX26-AS1	TEX26 antisense RNA 1	human	2
100507065	MSRB3-AS1	MSRB3 antisense RNA 1	human	4
100507066	CLIP1-AS1	CLIP1 antisense RNA 1	human	1
100507067	GOLGA8UP	golgin A8 family member U, pseudogene	human	
100507071	PIWIL2-DT	PIWIL2 divergent transcript	human	1
100507073	LINC01798	long intergenic non-protein coding RNA 1798	human	1
100507083	ATP5MC2P5	ATP5MC2 pseudogene 5	human	
100507091	PITPNM2-AS1	PITPNM2 antisense RNA 1	human	1
100507096	GIMD1	GIMAP family P-loop NTPase domain containing 1	human	1
100507097	ATP5MC2P3	ATP5MC2 pseudogene 3	human	
100507099	FRY-AS1	FRY antisense RNA 1	human	1
100507102	COX20P1	COX20 pseudogene 1	human	
100507103	LINC02937	long intergenic non-protein coding RNA 2937	human	2
100507114	LINC00445	long intergenic non-protein coding RNA 445	human	2
100507117	ASAP1-IT2	ASAP1 intronic transcript 2	human	1
100507118	PRC1-AS1	PRC1 antisense RNA 1	human	1
100507124	HMGN1P25	high mobility group nucleosome binding domain 1 pseudogene 25	human	
100507125	ERHP1	ERH pseudogene 1	human	
100507135	SPART-AS1	SPART antisense RNA 1	human	2
100507140	LINC01792	long intergenic non-protein coding RNA 1792	human	1
100507143	LINC00708	long intergenic non-protein coding RNA 708	human	1
100507144	CD44-DT	CD44 divergent transcript	human	1
100507156	LOXL2-AS1	LOXL2 antisense RNA 1	human	1
100507157	MTND1P30	MT-ND1 pseudogene 30	human	
100507163	LINC00709	long intergenic non-protein coding RNA 709	human	1
100507170	CT47A12	cancer/testis antigen family 47 member A12	human	3
100507171	BOLA3-DT	BOLA3 divergent transcript	human	3
100507173	LINC01012	long intergenic non-protein coding RNA 1012	human	3
100507175	LINC02408	long intergenic non-protein coding RNA 2408	human	1
100507178	SLFNL1-AS1	SLFNL1 antisense RNA 1	human	1
100507194	LINC02525	long intergenic non-protein coding RNA 2525	human	2
100507195	LINC02384	long intergenic non-protein coding RNA 2384	human	1
100507201	LINC01815	long intergenic non-protein coding RNA 1815	human	1
100507203	SMLR1	small leucine rich protein 1	human	1
100507205	LINC02740	long intergenic non-protein coding RNA 2740	human	1
100507206	LINC00943	long intergenic non-protein coding RNA 943	human	1
100507210	LINC02000	long intergenic non-protein coding RNA 2000	human	1
100507217	CHASERR	CHD2 adjacent suppressive regulatory RNA	human	3
100507218	RNF157-AS1	RNF157 antisense RNA 1	human	1
100507221	LOC100507221	uncharacterized LOC100507221	human	1
100507231	PPIAP42	peptidylprolyl isomerase A pseudogene 42	human	
100507240	VWA8-AS1	VWA8 antisense RNA 1 (head to head)	human	1
100507244	MAMDC2-AS1	MAMDC2 antisense RNA 1	human	1
100507250	LOC100507250	uncharacterized LOC100507250	human	1
100507251	CICP6	capicua transcriptional repressor pseudogene 6	human	
100507254	LINC01013	long intergenic non-protein coding RNA 1013	human	10
100507257	MEG9	maternally expressed 9	human	1
100507261	MIR670HG	MIR670 host gene	human	1
100507266	STX18-AS1	STX18 antisense RNA 1 (head to head)	human	1
100507267	LINC01187	long intergenic non-protein coding RNA 1187	human	1
100507274	LINC01210	long intergenic non-protein coding RNA 1210	human	1
100507277	LINC02314	long intergenic non-protein coding RNA 2314	human	1
100507283	MSANTD2-AS1	MSANTD2 antisense RNA 1	human	1
100507290	ZNF865	zinc finger protein 865	human	1
100507291	COPB2-DT	COPB2 divergent transcript	human	2
100507297	TMEM44-AS1	TMEM44 antisense RNA 1	human	3
100507299	SMC5-DT	SMC5 divergent transcript	human	1
100507300	ALKBH3-AS1	ALKBH3 antisense RNA 1	human	1
100507303	SNHG19	small nucleolar RNA host gene 19	human	1
100507321	ERVK13-1	endogenous retrovirus group K13 member 1	human	1
100507331	ZSWIM8-AS1	ZSWIM8 antisense RNA 1	human	1
100507334	LOC100507334	two pore channel 3 pseudogene	human	1
100507336	LOC100507336	uncharacterized LOC100507336	human	11
100507341	SMIM18	small integral membrane protein 18	human	5
100507346	LOC100507346	uncharacterized LOC100507346	human	1
100507351	LOC100507351	uncharacterized LOC100507351	human	1
100507354	CDC42P5	CDC42 pseudogene 5	human	
100507357	RPL23AP86	ribosomal protein L23a pseudogene 86	human	
100507361	PCNPP5	PEST containing nuclear protein pseudogene 5	human	
100507362	LINC01015	long intergenic non-protein coding RNA 1015	human	3
100507373	ADGRL1-AS1	ADGRL1 antisense RNA 1	human	1
100507377	LINC02882	long intergenic non-protein coding RNA 2882	human	1
100507379	LOC100507379	RNA binding motif protein 4 pseudogene	human	
100507381	KCNQ5-IT1	KCNQ5 intronic transcript 1	human	1
100507384	LOC100507384	uncharacterized LOC100507384	human	1
100507388	PARM1-AS1	PARM1 antisense RNA 1	human	1
100507389	HLMR1	hepatic lncRNA metabolic regulator 1	human	1
100507391	LINC01968	long intergenic non-protein coding RNA 1968	human	1
100507393	LOC100507393	putative uncharacterized protein FLJ44672-like	human	
100507395	LOC100507395	uncharacterized LOC100507395	human	1
100507398	INTS6-AS1	INTS6 antisense RNA 1	human	1
100507401	LRP4-AS1	LRP4 antisense RNA 1	human	1
100507403	LOC100507403	uncharacterized LOC100507403	human	2
100507404	TMLHE-AS1	TMLHE antisense RNA 1	human	1
100507406	LINC02539	long intergenic non-protein coding RNA 2539	human	2
100507410	C1QTNF1-AS1	C1QTNF1 antisense RNA 1	human	2
100507412	LOC100507412	uncharacterized LOC100507412	human	1
100507419	MMP25-AS1	MMP25 antisense RNA 1	human	1
100507420	LINC01605	long intergenic non-protein coding RNA 1605	human	11
100507422	LOC100507422	ubiquitin conjugating enzyme E2 N pseudogene	human	
100507423	MKNK1-AS1	MKNK1 antisense RNA 1	human	1
100507428	LINC00458	long intergenic non-protein coding RNA 458	human	2
100507431	LINC02551	long intergenic non-protein coding RNA 2551	human	1
100507433	ZNF571-AS1	ZNF571 antisense RNA 1	human	4
100507435	DLGAP2-AS1	DLGAP2 antisense RNA 1	human	1
100507437	MTA1-DT	MTA1 divergent transcript	human	2
100507443	LOC100507443	uncharacterized LOC100507443	human	1
100507458	ZNF213-AS1	ZNF213 antisense RNA 1 (head to head)	human	1
100507459	NRSN2-AS1	NRSN2 antisense RNA 1	human	1
100507461	LINC02032	long intergenic non-protein coding RNA 2032	human	1
100507462	CCDC28A-AS1	CCDC28A antisense RNA 1	human	3
100507464	LOC100507464	uncharacterized LOC100507464	human	1
100507466	DPH6-DT	DPH6 divergent transcript	human	1
100507468	CT66	cancer/testis associated transcript 66	human	3
100507470	GRID1-AS1	GRID1 antisense RNA 1	human	1
100507472	LOC100507472	uncharacterized LOC100507472	human	1
100507475	IDH1-AS1	IDH1 antisense RNA 1	human	1
100507477	LINC02941	long intergenic non-protein coding RNA 2941	human	2
100507480	LINC02853	long intergenic non-protein coding RNA 2853	human	1
100507483	LOC100507483	uncharacterized LOC100507483	human	
100507487	LINC02615	long intergenic non-protein coding RNA 2615	human	1
100507489	LINC01277	long intergenic non-protein coding RNA 1277	human	1
100507490	ZNF859P	zinc finger protein 859, pseudogene	human	
100507495	SDCBP2-AS1	SDCBP2 antisense RNA 1	human	3
100507501	LINC01569	long intergenic non-protein coding RNA 1569	human	1
100507506	ECI2-DT	ECI2 divergent transcript	human	1
100507507	FAM131B-AS2	FAM131B antisense RNA 2	human	1
100507513	LOC100507513	uncharacterized LOC100507513	human	2
100507516	LINC02984	long intergenic non-protein coding RNA 2984	human	1
100507521	LINC02733	long intergenic non-protein coding RNA 2733	human	2
100507524	ARHGEF26-AS1	ARHGEF26 antisense RNA 1	human	1
100507526	SMG1P4	SMG1 pseudogene 4	human	
100507527	LINC03103	long intergenic non-protein coding RNA 3103	human	4
100507528	LINC00613	long intergenic non-protein coding RNA 613	human	2
100507530	MCPH1-AS1	MCPH1 antisense RNA 1	human	1
100507534	LINC02192	long intergenic non-protein coding RNA 2192	human	1
100507540	LINC01504	long intergenic non-protein coding RNA 1504	human	2
100507547	LOC100507547	uncharacterized LOC100507547	human	4
100507548	LOC100507548	uncharacterized LOC100507548	human	1
100507549	HMGB3P32	high mobility group box 3 pseudogene 32	human	
100507551	PGLS-DT	PGLS divergent transcript	human	1
100507554	RPL37A-DT	RPL37A divergent transcript	human	2
100507557	EPM2A-DT	EPM2A divergent transcript	human	3
100507560	LOC100507560	uncharacterized LOC100507560	human	5
100507561	ANKRD33BP6	ANKRD33B pseudogene 6	human	
100507562	LOC100507562	uncharacterized LOC100507562	human	1
100507564	MAGOH-DT	MAGOH divergent transcript	human	1
100507567	RAB11B-AS1	RAB11B antisense RNA 1	human	1
100507582	BHLHE40-AS1	BHLHE40 antisense RNA 1	human	4
100507584	LINC01016	long intergenic non-protein coding RNA 1016	human	1
100507586	COX7BP3	COX7B pseudogene 3	human	
100507589	NAGPA-AS1	NAGPA antisense RNA 1	human	1
100507599	TFIP11-DT	TFIP11 divergent transcript	human	1
100507600	LCT-AS1	LCT antisense RNA 1	human	1
100507602	TRIM52-AS1	TRIM52 antisense RNA 1 (head to head)	human	4
100507605	LINC00837	long intergenic non-protein coding RNA 837	human	3
100507606	ANKRD33BP3	ANKRD33B pseudogene 3	human	
100507607	NPIPB9	nuclear pore complex interacting protein family member B9	human	22
100507608	KRTAP9-6	keratin associated protein 9-6	human	2
100507612	LINC00402	long intergenic non-protein coding RNA 402	human	1
100507616	LINC02397	long intergenic non-protein coding RNA 2397	human	1
100507617	PPP1R14BP3	protein phosphatase 1 regulatory inhibitor subunit 14B pseudogene 3	human	
100507629	LINC00658	long intergenic non-protein coding RNA 658	human	2
100507633	TNKS2-DT	TNKS2 divergent transcript	human	2
100507634	LOC100507634	uncharacterized LOC100507634	human	1
100507639	LINC02432	long intergenic non-protein coding RNA 2432	human	1
100507642	LINC03014	long intergenic non-protein coding RNA 3014	human	2
100507648	CICP15	capicua transcriptional repressor pseudogene 15	human	
100507650	RNF212B	ring finger protein 212B	human	12
100507651	LINC01606	long intergenic non-protein coding RNA 1606	human	1
100507657	LINC02554	long intergenic non-protein coding RNA 2554	human	1
100507661	LINC02082	long intergenic non-protein coding RNA 2082	human	1
100507670	ZNF687-AS1	ZNF687 antisense RNA 1	human	1
100507674	MARK2P9	MARK2 pseudogene 9	human	1
100507747	C13orf46	chromosome 13 open reading frame 46	human	20
100508046	LOC100508046	uncharacterized LOC100508046	human	1
100508120	GMDS-DT	GMDS divergent transcript	human	1
100508631	LINC02616	long intergenic non-protein coding RNA 2616	human	1
100509370	LOC100509370	39S ribosomal protein L21, mitochondrial-like	human	
100509620	AQP7B	aquaporin 7B	human	13
100509857	KRT8P4	keratin 8 pseudogene 4	human	
100509894	CPB2-AS1	CPB2 antisense RNA 1	human	2
100509927	H2ACP1	H2AC histone family pseudogene 1	human	
100510707	TBC1D3JP	TBC1 domain family member 3J, pseudogene	human	
100510709	LOC100510709	ADP/ATP translocase 2-like	human	
100510710	LOC100510710	lysosomal acid glucosylceramidase-like	human	
100526416	AK4P5	adenylate kinase 4 pseudogene 5	human	
100526656	GNG10P1	G protein subunit gamma 10 pseudogene 1	human	
100526664	LY75-CD302	LY75-CD302 readthrough	human	2
100526693	ARPC4-TTLL3	ARPC4-TTLL3 readthrough	human	1
100526694	MSANTD3-TMEFF1	MSANTD3-TMEFF1 readthrough	human	1
100526735	CRYZP2	crystallin zeta pseudogene 2	human	
100526736	LOC100526736	quinone oxidoreductase-like protein 2 pseudogene	human	
100526738	SUMO2P5	SUMO2 pseudogene 5	human	
100526739	CENPS-CORT	CENPS-CORT readthrough	human	5
100526760	ABHD14A-ACY1	ABHD14A-ACY1 readthrough	human	1
100526761	CCDC169-SOHLH2	CCDC169-SOHLH2 readthrough	human	1
100526767	RNF103-CHMP3	RNF103-CHMP3 readthrough	human	1
100526771	SMIM35	small integral membrane protein 35	human	6
100526772	STIMATE-MUSTN1	STIMATE-MUSTN1 readthrough	human	1
100526773	EPPIN-WFDC6	EPPIN-WFDC6 readthrough	human	1
100526776	CSNK1A1P3	casein kinase 1 alpha 1 pseudogene 3	human	
100526783	ARPIN-AP3S2	ARPIN-AP3S2 readthrough	human	1
100526793	CKS1BP5	CDC28 protein kinase regulatory subunit 1B pseudogene 5	human	
100526794	NT5C1B-RDH14	NT5C1B-RDH14 readthrough	human	2
100526820	CAHM	colon adenocarcinoma hypermethylated	human	1
100526825	INMT-MINDY4	INMT-MINDY4 readthrough (NMD candidate)	human	1
100526830	SLX1A-SULT1A3	SLX1A-SULT1A3 readthrough (NMD candidate)	human	1
100526831	SLX1B-SULT1A4	SLX1B-SULT1A4 readthrough (NMD candidate)	human	1
100526832	PHOSPHO2-KLHL23	PHOSPHO2-KLHL23 readthrough	human	2
100526835	FPGT-TNNI3K	FPGT-TNNI3K readthrough	human	2
100526836	BLOC1S5-TXNDC5	BLOC1S5-TXNDC5 readthrough (NMD candidate)	human	1
100526837	EEF1E1-BLOC1S5	EEF1E1-BLOC1S5 readthrough (NMD candidate)	human	1
100526838	LOC100526838	chromosome 18 open reading frame 32 pseudogene	human	
100526839	LOC100526839	chromosome 18 open reading frame 32 pseudogene	human	
100526840	LOC100526840	chromosome 18 open reading frame 32 pseudogene	human	
100526841	LOC100526841	chromosome 18 open reading frame 32 pseudogene	human	
100526842	RPL17-C18orf32	RPL17-C18orf32 readthrough	human	2
100527943	TGIF2-RAB5IF	TGIF2-RAB5IF readthrough	human	1
100527945	NDUFA12P1	NADH:ubiquinone oxidoreductase subunit A12 pseudogene 1	human	
100527946	PDCD5P1	programmed cell death 5 pseudogene 1	human	
100527947	PDCD5P2	programmed cell death 5 pseudogene 2	human	
100527948	HMGB1P27	high mobility group box 1 pseudogene 27	human	
100527949	GIMAP1-GIMAP5	GIMAP1-GIMAP5 readthrough	human	2
100527950	GJA9-MYCBP	GJA9-MYCBP readthrough	human	5
100527960	MROH7-TTC4	MROH7-TTC4 readthrough (NMD candidate)	human	3
100527963	PMF1-BGLAP	PMF1-BGLAP readthrough	human	4
100527964	LHX4-AS1	LHX4 antisense RNA 1	human	1
100527978	TLCD4-RWDD3	TLCD4-RWDD3 readthrough	human	1
100528006	DPPA5P3	developmental pluripotency associated 5 pseudogene 3	human	
100528007	BORCS7-ASMT	BORCS7-ASMT readthrough (NMD candidate)	human	1
100528016	TMX2-CTNND1	TMX2-CTNND1 readthrough (NMD candidate)	human	1
100528017	SAA2-SAA4	SAA2-SAA4 readthrough	human	1
100528018	ARL2-SNX15	ARL2-SNX15 readthrough (NMD candidate)	human	1
100528019	HSPB2-C11orf52	HSPB2-C11orf52 readthrough (NMD candidate)	human	1
100528020	FAM187A	family with sequence similarity 187 member A	human	1
100528021	ST20-MTHFS	ST20-MTHFS readthrough	human	1
100528022	BLOC1S1-RDH5	BLOC1S1-RDH5 readthrough	human	1
100528030	POC1B-GALNT4	POC1B-GALNT4 readthrough	human	2
100528031	FKBP1A-SDCBP2	FKBP1A-SDCBP2 readthrough (NMD candidate)	human	1
100528061	GGCTP1	GGCT pseudogene 1	human	
100528063	GGCTP3	GGCT pseudogene 3	human	
100528064	NEDD8-MDP1	NEDD8-MDP1 readthrough	human	5
100529052	GGCTP2	GGCT pseudogene 2	human	
100529067	SERF2-C15ORF63	SERF2-C15orf63 readthrough	human	1
100529097	RPL36A-HNRNPH2	RPL36A-HNRNPH2 readthrough	human	2
100529111	NPLP1	NPL pseudogene 1	human	
100529144	CORO7-PAM16	CORO7-PAM16 readthrough	human	1
100529145	TEN1-CDK3	TEN1-CDK3 readthrough (NMD candidate)	human	1
100529207	RAD51L3-RFFL	RAD51L3-RFFL readthrough	human	1
100529209	RNASEK-C17orf49	RNASEK-C17orf49 readthrough	human	1
100529211	TMEM256-PLSCR3	TMEM256-PLSCR3 readthrough (NMD candidate)	human	1
100529239	RPS10-NUDT3	RPS10-NUDT3 readthrough	human	1
100529240	ZNF816-ZNF321P	ZNF816-ZNF321P readthrough	human	1
100529241	HSPE1-MOB4	HSPE1-MOB4 readthrough	human	1
100529251	CKLF-CMTM1	CKLF-CMTM1 readthrough	human	3
100529257	SYNJ2BP-COX16	SYNJ2BP-COX16 readthrough	human	3
100529261	CHURC1-FNTB	CHURC1-FNTB readthrough	human	2
100529262	MIA-RAB4B	MIA-RAB4B readthrough (NMD candidate)	human	1
100529264	RAB4B-EGLN2	RAB4B-EGLN2 readthrough (NMD candidate)	human	1
100529855	ZNF625-ZNF20	ZNF625-ZNF20 readthrough (NMD candidate)	human	1
100532724	NPHP3-ACAD11	NPHP3-ACAD11 readthrough (NMD candidate)	human	1
100532726	NDUFC2-KCTD14	NDUFC2-KCTD14 readthrough	human	3
100532731	COMMD3-BMI1	COMMD3-BMI1 readthrough	human	1
100532732	MSH5-SAPCD1	MSH5-SAPCD1 readthrough (NMD candidate)	human	1
100532735	INO80B-WBP1	INO80B-WBP1 readthrough (NMD candidate)	human	1
100532737	ATP6V1G2-DDX39B	ATP6V1G2-DDX39B readthrough (NMD candidate)	human	1
100532742	PIR-FIGF	PIR-FIGF readthrough	human	1
100532746	PPT2-EGFL8	PPT2-EGFL8 readthrough (NMD candidate)	human	1
100532749	LOC100532749	ubiquitination factor E4A (UFD2 homolog, yeast) pseudogene	human	
100533106	ZHX1-C8orf76	ZHX1-C8orf76 readthrough	human	1
100533111	ZNF670-ZNF695	ZNF670-ZNF695 readthrough (NMD candidate)	human	1
100533177	KRTAP29-1	keratin associated like protein 29-1	human	1
100533178	PRORY	PRORY Y-linked lncRNA	human	1
100533179	UBE2F-SCLY	UBE2F-SCLY readthrough (NMD candidate)	human	1
100533181	FXYD6-FXYD2	FXYD6-FXYD2 readthrough	human	2
100533182	SEC24B-AS1	SEC24B antisense RNA 1	human	1
100533184	ARHGAP19-SLIT1	ARHGAP19-SLIT1 readthrough (NMD candidate)	human	1
100533195	FAM24B-CUZD1	FAM24B-CUZD1 readthrough	human	1
100533464	PRH1-PRR4	PRH1-PRR4 readthrough	human	1
100533467	BIVM-ERCC5	BIVM-ERCC5 readthrough	human	1
100533483	DNAAF4-CCPG1	DNAAF4-CCPG1 readthrough (NMD candidate)	human	1
100533496	TVP23C-CDRT4	TVP23C-CDRT4 readthrough	human	2
100533618	LOC100533618	ubinuclein 1 pseudogene	human	
100533619	TMPOP2	thymopoietin pseudogene 2	human	
100533620	TUBBP7	tubulin beta class I pseudogene 7	human	
100533621	FBRSL1P1	FBRSL1 pseudogene 1	human	
100533622	LOC100533622	sulfite oxidase pseudogene	human	
100533624	SNX33P1	sorting nexin 33 pseudogene 1	human	
100533625	LOC100533625	sorting nexin 18 pseudogene	human	
100533626	TUBAP9	tubulin alpha pseudogene 9	human	
100533627	TUBAP8	tubulin alpha pseudogene 8	human	
100533628	LOC100533628	WD repeat domain 75 pseudogene	human	
100533629	LOC100533629	FAST kinase domains 1 pseudogene	human	
100533630	LOC100533630	chimerin 1 pseudogene	human	
100533631	LOC100533631	5-azacytidine induced 2 pseudogene	human	
100533632	LOC100533632	zinc finger protein 736 pseudogene	human	
100533633	LOC100533633	zinc finger protein 257 pseudogene	human	
100533634	LOC100533634	zinc finger protein 737 pseudogene	human	
100533635	LOC100533635	zinc finger protein 384 pseudogene	human	
100533636	LOC100533636	zinc finger protein 519 pseudogene	human	
100533637	LOC100533637	zinc finger protein 43 pseudogene	human	
100533638	LOC100533638	zinc finger protein 85 pseudogene	human	
100533640	LOC100533640	WEE1 homolog (S. pombe) pseudogene	human	
100533641	LOC100533641	zinc finger protein 100 pseudogene	human	
100533642	FNBP1P1	formin binding protein 1 pseudogene 1	human	
100533643	LOC100533643	zinc finger protein 91 pseudogene	human	
100533644	LOC100533644	zinc finger protein 628 pseudogene	human	
100533646	ZNF840P	zinc finger protein 840, pseudogene	human	
100533648	LOC100533648	uncharacterized LOC100533648	human	
100533649	LOC100533649	uncharacterized LOC100533649	human	
100533650	LOC100533650	uncharacterized LOC100533650	human	
100533651	LOC100533651	uncharacterized LOC100533651	human	
100533652	LOC100533652	uncharacterized LOC100533652	human	
100533653	LOC100533653	FERM domain containing kindlin 3 pseudogene	human	
100533654	LOC100533654	SDA1 domain containing 1 pseudogene	human	
100533655	LOC100533655	aryl hydrocarbon receptor pseudogene	human	
100533658	HSPA8P17	heat shock protein family A (Hsp70) member 8 pseudogene 17	human	
100533659	LOC100533659	endoplasmic reticulum oxidoreductase 1 alpha pseudogene	human	
100533660	EI24P5	EI24 pseudogene 5	human	
100533661	SGO1P2	shugoshin 1 pseudogene 2	human	
100533662	STK25P1	serine/threonine kinase 25 pseudogene 1	human	
100533663	HRGP1	HRG pseudogene 1	human	
100533664	PTCHD3P2	patched domain containing 3 pseudogene 2	human	
100533665	PTCHD3P3	patched domain containing 3 pseudogene 3	human	
100533666	SGO1P1	shugoshin 1 pseudogene 1	human	
100533667	LOC100533667	T-box transcription factor T pseudogene	human	
100533668	KLF2P4	Kruppel like factor 2 pseudogene 4	human	
100533669	LOC100533669	MAGE family member A10 pseudogene	human	
100533670	LOC100533670	tripartite motif containing 60 pseudogene	human	
100533671	ADAM20P2	ADAM metallopeptidase domain 20 pseudogene 2	human	
100533672	TRIM60P19	tripartite motif containing 60 pseudogene 19	human	
100533673	OSBPL9P6	oxysterol binding protein like 9 pseudogene 6	human	
100533674	NPAP1P4	nuclear pore associated protein 1 pseudogene 4	human	
100533675	NPAP1P6	nuclear pore associated protein 1 pseudogene 6	human	
100533676	PHACTR2P1	phosphatase and actin regulator 2 pseudogene 1	human	
100533677	LOC100533677	basal body orientation factor 1 pseudogene	human	
100533678	LOC100533678	serine and arginine repetitive matrix 1 pseudogene	human	
100533679	LOC100533679	URI1, prefoldin-like chaperone pseudogene	human	
100533682	MIPEPP1	mitochondrial intermediate peptidase pseudogene 1	human	
100533695	RLIMP1	ring finger protein, LIM domain interacting pseudogene 1	human	
100533705	SLC9B1P5	solute carrier family 9 member B1 pseudogene 5	human	
100533706	LOC100533706	NEDD8 activating enzyme E1 subunit 1 pseudogene	human	
100533707	LOC100533707	ZFP37 zinc finger protein pseudogene	human	
100533708	LOC100533708	protein inhibitor of activated STAT 2 pseudogene	human	
100533709	LOC100533709	piggyBac transposable element derived 2 pseudogene	human	
100533710	LOC100533710	mannosidase alpha class 1B member 1 pseudogene	human	
100533711	CKAP2LP1	CKAP2L pseudogene 1	human	
100533712	MDM4P1	MDM4 pseudogene 1	human	
100533713	ELL2P3	elongation factor for RNA polymerase II 2 pseudogene 3	human	
100533714	DDX43P2	DEAD-box helicase 43 pseudogene 2	human	
100533716	LOC100533716	DEAD-box helicase 53 pseudogene	human	
100533717	BCAR1P1	BCAR1 pseudogene 1	human	
100533718	BCAR1P2	BCAR1 pseudogene 2	human	
100533719	ANKRD20A14P	ankyrin repeat domain 20 family member A14, pseudogene	human	
100533720	ANKRD20A15P	ankyrin repeat domain 20 family member A15, pseudogene	human	
100533721	PNPT1P2	polyribonucleotide nucleotidyltransferase 1 pseudogene 2	human	
100533722	LOC100533722	HERV-FRD provirus ancestral Env polyprotein pseudogene	human	
100533723	LOC100533723	HERV-FRD provirus ancestral Env polyprotein pseudogene	human	
100533727	LOC100533727	replication factor C subunit 2 pseudogene	human	
100533728	LOC100533728	endogenous retrovirus group FRD member 1 pseudogene	human	
100533729	LOC100533729	HERV-FRD provirus ancestral Env polyprotein pseudogene	human	
100533730	LOC100533730	HERV-FRD provirus ancestral Env polyprotein pseudogene	human	
100533731	RLIMP2	ring finger protein, LIM domain interacting pseudogene 2	human	
100533732	LOC100533732	HERV-FRD provirus ancestral Env polyprotein pseudogene	human	
100533733	LOC100533733	HERV-FRD provirus ancestral Env polyprotein pseudogene	human	
100533734	LOC100533734	HERV-FRD provirus ancestral Env polyprotein pseudogene	human	
100533735	LOC100533735	HERV-FRD provirus ancestral Env polyprotein pseudogene	human	
100533736	LOC100533736	HERV-FRD provirus ancestral Env polyprotein pseudogene	human	
100533754	MARK3P3	microtubule affinity regulating kinase 3 pseudogene 3	human	
100533755	MARK2P20	MARK2 pseudogene 20	human	
100533757	SSBL3P	small RNA binding exonuclease protection factor La like 3, pseudogene	human	
100533787	LOC100533787	HERV-FRD provirus ancestral Env polyprotein pseudogene	human	
100533789	LRRC37A8P	leucine rich repeat containing 37 member A8, pseudogene	human	1
100533790	LRRC37A9P	leucine rich repeat containing 37 member A9, pseudogene	human	
100533791	LRRC37A10P	leucine rich repeat containing 37 member A10, pseudogene	human	
