Approved symbol	Chromosome	NCBI Gene ID
MTCO2P1	20q13.33	140909
MTCO2P2	18q21.1	100873202
MTCO2P3	13q21.1	100873203
MTCO2P4	8q22.3	
MTCO2P5	2q22.2	107075181
MTCO2P6	3p11.1	107075266
MTCO2P7	2q21.1	107075145
MTCO2P8	7q11.21	107075146
MTCO2P9	4q32.1	107075267
MTCO2P10	7p11.2	107161153
MTCO2P11	9p24.1	
MTCO2P12	1p36.33	107075310
MTCO2P13	17p11.2	107403168
MTCO2P14	1p13.3	107403169
MTCO2P15	11q22.3	107075147
MTCO2P16	2q33.1	107075148
MTCO2P17	2q33.2	107075268
MTCO2P18	2q21.1	107075149
MTCO2P19	Xq22.1	107075223
MTCO2P20	22q12.3	107075230
MTCO2P21	1p22.1	107075191
MTCO2P22	5q21.1	100289404
MTCO2P23	10q22.1	107075192
MTCO2P24	5q15	107075193
MTCO2P25	7q11.22	107075290
MTCO2P26	11p12	107403163
MTCO2P27	19p13.2	107075291
MTCO2P28	16p13.3	107126362
MTCO2P29	3q13.33	107075194
MTCO2P30	5p15.32	107075195
MTCO2P31	6q25.2	107075292
MTCO2P32	5p15.33	
MTCO2P33	6p22.3	107075197
MTCO2P34	1p32.3	109729142
MTCO3P1	6p21.32	404026
MTCO3P2	13q12.12	100873207
MTCO3P3	8q13.2	107403237
MTCO3P4	7p11.2	107075216
MTCO3P5	2q22.2	107075228
MTCO3P6	3p11.1	107403235
MTCO3P7	2q21.1	
MTCO3P8	7q11.21	107075151
MTCO3P9	4q32.1	107075269
MTCO3P10	7p11.2	107075152
MTCO3P11	9p24.1	
MTCO3P12	1p36.33	107075270
MTCO3P13	17p11.2	107075224
MTCO3P14	1p13.3	107403236
MTCO3P15	11q22.3	107075154
MTCO3P16	2q33.1	107075155
MTCO3P17	2q33.2	107075271
MTCO3P18	2q21.1	107075215
MTCO3P19	Xq22.1	107075156
MTCO3P20	22q12.3	107075180
MTCO3P21	1p22.1	107075162
MTCO3P22	5q21.1	100289371
MTCO3P23	15q21.3	
MTCO3P24	16p13.13	
MTCO3P25	11q14.1	107403240
MTCO3P26	21p11.2	107403241
MTCO3P27	4q13.1	107075183
MTCO3P28	4q13.1	107075184
MTCO3P29	9q22.31	107075185
MTCO3P30	9p21.1	107075229
MTCO3P31	6q25.2	
MTCO3P32	20q11.21	107436001
MTCO3P33	22p11.2	107436003
MTCO3P34	22p11.2	107436004
MTCO3P35	3q13.12	
MTCO3P36	9q13	107436006
MTCO3P37	Yq11.21	107436007
MTCO3P38	3q26.1	107075187
MTCO3P39	4p11	107075313
MTCO3P40	9q21.32	107075188
MTCO3P41	7q11.22	107075288
MTCO3P42	4p11	107075189
MTCO3P43	2q14.2	107075190
MTCO3P44	4p15.2	107075289
MTCO3P45	2q11.1	107075218
MTCO3P46	1q42.3	107075293
MTCO3P47	3p13	
MTCP1	Xq28	4515
MTCYBP1	Yp11.2	100499418
MTCYBP2	Yq11.222	100873168
MTCYBP3	13q32.1	100873204
MTCYBP4	6q23.2	100873169
MTCYBP5	7p11.2	107075125
MTCYBP6	7q31.2	
MTCYBP7	2p12	107075257
MTCYBP8	2q21.1	107075220
MTCYBP9	2q24.1	107075124
MTCYBP10	2q21.1	107075121
MTCYBP11	2q22.2	107075122
MTCYBP12	Xp22.32	107075123
MTCYBP13	17p11.2	107075129
MTCYBP14	1q42.3	107075120
MTCYBP15	1q43	107075258
MTCYBP16	4q13.1	107075126
MTCYBP17	4q32.1	107075213
MTCYBP18	5q31.1	107075130
MTCYBP19	8p12	107075127
MTCYBP20	8q11.1	107075128
MTCYBP21	21q22.3	107075260
MTCYBP22	5q21.1	107075221
MTCYBP23	15q21.3	
MTCYBP24	7q31.1	107075132
MTCYBP25	11q14.1	107403064
MTCYBP26	12p11.21	107403065
MTCYBP27	14q31.2	107075133
MTCYBP28	16q23.3	107075134
MTCYBP29	7p11.2	107075135
MTCYBP30	8q13.2	107403066
MTCYBP31	Xq13.1	
MTCYBP32	Xq22.1	107075231
MTCYBP33	16p13.13	109729143
MTCYBP34	22q12.3	109729115
MTCYBP35	5q15	109729150
MTCYBP36	6q16.1	109729116
MTCYBP37	5p15.31	109729151
MTCYBP38	Xq25	109729117
MTCYBP39	2q14.1	109729152
MTCYBP40	5q15	109729144
MTCYBP41	11q14.2	109729118
MTCYBP42	7p15.3	109729153
MTCYBP43	4p15.1	109729119
MTCYBP44	4q21.22	109729154
MTCYBP45	1p36.22	109729120
MTDH	8q22.1	92140
MTDHP1	7q11.21	100418814
MTDHP2	19p12	100418835
MTDHP3	19p12	100418832
MTDHP4	19p12	100418834
MTDHP5	19p12	100418836
MTERF1	7q21.2	7978
MTERF1P1	3p14.2	101060206
MTERF2	12q23.3	80298
MTERF3	8q22.1	51001
MTERF4	2q37.3	130916
MTF1	1p34.3	4520
MTF2	1p22.1	22823
MTFMT	15q22.31	123263
MTFP1	22q12.2	51537
MTFR1	8q13.1	9650
MTFR1L	1p36.11	56181
MTFR1P1	Xq12	100128171
MTFR2	6q23.3	113115
MTFR2P1	2p15	100421472
MTFR2P2	22q13.1	100132621
MTG1	10q26.3	92170
MTG2	20q13.33	26164
MTH1		
MTHFC		
MTHFD		
MTHFD1	14q23.3	4522
MTHFD1L	6q25.1	25902
MTHFD1P1	Xp11.21	4523
MTHFD2	2p13.1	10797
MTHFD2L	4q13.3	441024
MTHFD2P1	3q11.2	100287639
MTHFD2P2	6q14.3	
MTHFD2P3	6q21	
MTHFD2P4	4q32.2	100131135
MTHFD2P5	7q21.11	442707
MTHFD2P6	5p13.1	100130042
MTHFD2P7	3q26.33	442098
MTHFDP1		
MTHFR	1p36.22	4524
MTHFS	15q25.1	10588
MTHFSD	16q24.1	64779
MTIF2	2p16.1	4528
MTIF2P1	1p11.2	80713
MTIF3	13q12.2	219402
MTL3P	18q22.1	4531
MTL4	20	
MTLN	2q13	205251
MTM1	Xq28	4534
MTMR1	Xq28	8776
MTMR2	11q21	8898
MTMR3	22q12.2	8897
MTMR4	17q22	9110
MTMR6	13q12.13	9107
MTMR7	8p22	9108
MTMR8	Xq11.2	55613
MTMR9	8p23.1	66036
MTMR9LP	1p35.2	339483
MTMR9P1	6p12.3	
MTMR10	15q13.3	54893
MTMR11	1q21.2	10903
MTMR12	5p13.3	54545
MTMR12P1	11q22.1	100420510
MTMR14	3p25.3	64419
MTNAP1	17q25.1	55028
MTNAP1P1	2q24.2	100132762
MTND1P1	Yp11.2	100499468
MTND1P2	7q11.21	100873170
MTND1P3	7q34	100288984
MTND1P4	7p11.2	100873171
MTND1P5	8q22.3	100873174
MTND1P6	8p12	100873173
MTND1P7	8q11.1	100873172
MTND1P8	16p13.3	100287461
MTND1P9	20q13.31	100873221
MTND1P10	22q12.3	100873343
MTND1P11	9p24.1	100873212
MTND1P12	Yq11.21	
MTND1P13	22q11.23 alternate reference locus	100887745
MTND1P14	17p11.2	100873337
MTND1P15	17p11.2	100288998
MTND1P16	3q13.12	100873213
MTND1P17	22q11.1	100873342
MTND1P18	10p11.21	100873338
MTND1P19	4q22.1	100873220
MTND1P20	10q22.1	100873339
MTND1P21	10p12.31	100873340
MTND1P22	4q32.1	100287591
MTND1P23	1p36.33	100887749
MTND1P24	12q12	100873341
MTND1P25	1q43	100288950
MTND1P26	2q21.1	100873214
MTND1P27	2q22.1	100288227
MTND1P28	2q14.1	100873215
MTND1P29	2q21.1	100873216
MTND1P30	Xp11.21	100507157
MTND1P31	Xq11.1	100873217
MTND1P32	Xq22.1	100856881
MTND1P33	Xq27.3	100873218
MTND1P34	1p33	100873219
MTND1P35	11q14.3	
MTND1P36	11q22.3	100506721
MTND1P37	10p12.31	109729170
MTND2P1	21q22.12	387315
MTND2P2	Xq22.1	56168
MTND2P3	Yp11.2	100499457
MTND2P4	7q11.21	100873175
MTND2P5	7q34	100873176
MTND2P6	7p11.2	100873177
MTND2P7	8q24.22	100873179
MTND2P8	9q21.31	100873178
MTND2P9	9q21.31	100884155
MTND2P10	8q22.3	100873238
MTND2P11	9q31.3	100873222
MTND2P12	17p11.2	100873344
MTND2P13	17p11.2	100873345
MTND2P14	3q13.12	100873223
MTND2P15	10q22.1	100873346
MTND2P16	10p12.31	100873347
MTND2P17	12q12	100873348
MTND2P18	2q21.1	100873224
MTND2P19	2q22.1	100873225
MTND2P20	2q24.1	100873226
MTND2P21	2q14.1	100873227
MTND2P22	2q21.1	100873228
MTND2P23	2q34	100873229
MTND2P24	Xp11.21	100873230
MTND2P25	Xq11.1	100873231
MTND2P26	11q22.3	100873349
MTND2P27	1q43	100873232
MTND2P28	1p36.33	100652939
MTND2P29	1p33	100873233
MTND2P30	1p31.1	100873234
MTND2P31	4p15.33	100873235
MTND2P32	8p12	100873237
MTND2P33	4q32.1	100873236
MTND2P34	16p13.3	107161146
MTND2P35	8q23.2	107161147
MTND2P36	9p24.1	107161148
MTND2P37	7q31.2	107161150
MTND2P38	8q11.1	107075276
MTND2P39	Xq27.3	107075312
MTND2P40	19p13.2	107075280
MTND2P41	4q13.2	109729121
MTND3P1	13q12.11	100873208
MTND3P2	7q11.21	100873180
MTND3P3	4q32.1	100873187
MTND3P4	9q31.1	100873181
MTND3P5	4p15.2	100873186
MTND3P6	3q13.12	100873182
MTND3P7	3q26.1	100873183
MTND3P8	1q42.3	100873185
MTND3P9	2q22.2	100873184
MTND3P10	2q14.2	100873239
MTND3P11	11q14.1	107161160
MTND3P12	15q21.3	
MTND3P13	16p13.13	
MTND3P14	9p24.1	107161161
MTND3P15	2q21.1	107161162
MTND3P16	2q33.1	107075278
MTND3P17	2q33.2	107075279
MTND3P18	2q21.1	107161164
MTND3P19	5q21.1	107075161
MTND3P20	6q25.2	107075294
MTND3P21	1p22.1	107075198
MTND3P22	4p11	107075314
MTND3P23	9q22.31	107075295
MTND3P24	4q13.1	
MTND3P25	5q31.1	107075297
MTND4LP1	Xq25	
MTND4LP2	7q11.21	
MTND4LP3	3q13.12	
MTND4LP4	7p11.2	
MTND4LP5	5q21.1	
MTND4LP6	9p24.1	
MTND4LP7	9q22.31	
MTND4LP8	17p11.2	
MTND4LP9	3p24.1	
MTND4LP10	3q26.1	
MTND4LP11	10p11.22	
MTND4LP12	2q22.2	
MTND4LP13	2q33.1	
MTND4LP14	2q14.2	
MTND4LP15	2q21.1	
MTND4LP16	2q33.1	
MTND4LP17	2q33.2	
MTND4LP18	11q14.1	
MTND4LP19	6q15	
MTND4LP20	6q25.2	
MTND4LP21	1q42.3	
MTND4LP22	4p15.2	
MTND4LP23	15q21.3	107133487
MTND4LP24	16p13.13	
MTND4LP25	16q12.1	
MTND4LP26	8p22	
MTND4LP27	8q13.2	107133488
MTND4LP28	2q21.1	
MTND4LP29	4q32.1	
MTND4LP30	5q31.1	
MTND4LP31	4q13.1	
MTND4LP32	7p11.2	
MTND4P1	13q31.1	100873211
MTND4P2	7q11.21	100873188
MTND4P3	7q11.22	100873189
MTND4P4	7p11.2	
MTND4P5	7p11.2	100873191
MTND4P6	7q31.2	100873192
MTND4P7	8p22	100873195
MTND4P8	4q32.1	100873194
MTND4P9	4p15.2	100873193
MTND4P10	1q42.3	100873256
MTND4P11	1p22.1	100873255
MTND4P12	5q31.1	100293090
MTND4P13	6q25.2	100862853
MTND4P14	9p24.1	100653489
MTND4P15	9q22.31	100873240
MTND4P16	3q13.12	100873241
MTND4P17	3q26.1	100873242
MTND4P18	10p11.21	100873350
MTND4P19	10q23.33	100873351
MTND4P20	10q23.33	100873352
MTND4P21	2q21.1	100873243
MTND4P22	2q22.2	100873244
MTND4P23	2q33.1	100873245
MTND4P24	Xq25	100873254
MTND4P25	2p12	100873246
MTND4P26	2q14.2	100873247
MTND4P27	2q21.1	100873248
MTND4P28	2q24.1	100873249
MTND4P29	2q33.1	100873250
MTND4P30	2q33.2	100873251
MTND4P31	Xq13.1	100873252
MTND4P32	Xq22.1	100873253
MTND4P33	14q31.2	
MTND4P34	16p13.13	107075308
MTND4P35	5q21.1	
MTND4P36	11q14.1	107403074
MTND4P37	15q15.1	112163599
MTND4P38	15q21.3	
MTND4P39	8q13.2	112163524
MTND4P40	2q37.3	
MTND4P41	19q13.12	111188160
MTND5P1	21q22.3	100873206
MTND5P2	13q32.1	100873209
MTND5P3	13q31.1	100873210
MTND5P4	4p15.32	100873200
MTND5P5	4q24	100873201
MTND5P6	7p11.2	100873196
MTND5P7	7p11.2	100873197
MTND5P8	7q31.1	100873198
MTND5P9	4q32.1	100873199
MTND5P10	5q21.1	643031
MTND5P11	5q31.1	100506169
MTND5P12	5q15	100873257
MTND5P13	4q13.1	100873272
MTND5P14	9p24.1	100873258
MTND5P15	3q26.32	100873259
MTND5P16	3q13.12	100862854
MTND5P17	10p11.21	100873353
MTND5P18	1q43	100873271
MTND5P19	1q42.3	100873270
MTND5P20	1p13.2	100873269
MTND5P21	11p15.4	100873354
MTND5P22	2q14.3	100873260
MTND5P23	2q21.1	100873261
MTND5P24	2q22.2	100873262
MTND5P25	2q33.1	100873263
MTND5P26	Xq22.1	100873268
MTND5P27	2p12	100873264
MTND5P28	2q14.2	100505755
MTND5P29	2q21.1	100873265
MTND5P30	2q24.1	100873266
MTND5P31	2q33.1	100873267
MTND5P32	15q21.3	
MTND5P33	16p13.13	107075118
MTND5P34	16q12.2	107075255
MTND5P35	14q31.2	
MTND5P36	9p24.1	107133491
MTND5P37	15q15.1	107133493
MTND5P38	11q14.1	107133495
MTND5P39	Xq13.1	107133496
MTND5P40	15q21.1	107075256
MTND5P41	8p12	107075309
MTND5P42	10q23.31	109729157
MTND5P43	12p11.21	111188140
MTND5P44	8q13.2	112163614
MTND5P45	19q13.12	111188162
MTND5P46	2q37.3	112390311
MTND6P1	Yp11.2	100499469
MTND6P2	5p15.31	106478941
MTND6P3	5q15	106478942
MTND6P4	5q31.1	106478943
MTND6P5	9p24.1	106480427
MTND6P6	3q13.12	106478944
MTND6P7	2p12	106478945
MTND6P8	2q21.1	106480726
MTND6P9	2q24.1	106478946
MTND6P10	2q21.1	106478947
MTND6P11	2q22.2	106480727
MTND6P12	Xp22.32	106481743
MTND6P13	Xq22.1	106480428
MTND6P14	1q42.3	106478948
MTND6P15	1q43	106478949
MTND6P16	4q13.1	106478950
MTND6P17	4q32.1	106480728
MTND6P18	13q32.1	106478951
MTND6P19	8p12	106481788
MTND6P20	8q11.1	106478952
MTND6P21	21q22.3	100873332
MTND6P22	5q21.1	107075261
MTND6P23	15q21.3	107133498
MTND6P24	7q31.1	107063611
MTND6P25	11q14.1	
MTND6P26	12p11.21	107133500
MTND6P27	14q31.2	107133501
MTND6P28	16q23.3	107133503
MTND6P29	7p11.2	107133504
MTND6P30	8q13.2	107133505
MTND6P31	Xq13.1	107133507
MTND6P32	Xq22.1	107075200
MTND6P33	16p13.13	107075298
MTND6P34	17p11.2	112268489
MTND6P35	17p11.2	112163686
MTND6P36	7p11.2	
MTND6P37	13q31.1	112340375
MTNR1A	4q35.2	4543
MTNR1B	11q14.3	4544
MTO1	6q13	25821
MTOR	1p36.22	2475
MTOR-AS1	1p36.22	
MTPAP	10p11.23	55149
MTPN	7q33	136319
MTR	1q43	4548
MTRES1	6q21	51250
MTRES1P1	6q25.2	100129996
MTRES1P2	21q22.11	100129168
MTREX	5q11.2	23517
MTRF1	13q14.11	9617
MTRF1L	6q25.2	54516
MTRF1LP1	11q23.2	100132520
MTRF1LP2	8q24.21	100130376
MTRFR	12q24.31	91574
MTRNR2L1	17p11.2	100462977
MTRNR2L2	5q14.1	100462981
MTRNR2L3	20q13.31	100462983
MTRNR2L4	16p13.3	100463285
MTRNR2L5	10q21.1	100463289
MTRNR2L6	7q34	100463482
MTRNR2L7	10p11.21	100288485
MTRNR2L8	11p15.4	100463486
MTRNR2L9	6q11.1	100463487
MTRNR2L10	Xp11.21	100463488
MTRNR2L11	1q43	100463489
MTRNR2L12	3q11.2	100463498
MTRNR2L13	4q26	100463500
MTRR	5p15.31	4552
MTS1		
MTSS1	8q24.13	9788
MTSS2	16q22.1	92154
MTTP	4q23	4547
MTURN	7p14.3	222166
MTUS1	8p22	57509
MTUS1-DT	8p22	101930275
MTUS2	13q12.3	23281
MTUS2-AS1	13q12.3	
MTUS2-AS2	13q12.3	
MTX		
MTX1	1q22	4580
MTX1LP	1q22	4581
MTX2	2q31.1	10651
MTX2P1	7q31.33	100134507
MTX3	5q14.1	345778
MTXP		
MUC1	1q22	4582
MUC2	11p15.5	4583
MUC3	reserved	
MUC3A	7q22.1	4584
MUC3B	7q22 not on reference assembly	57876
MUC4	3q29	4585
MUC5AC	11p15.5	4586
MUC5B	11p15.5	727897
MUC5B-AS1	11p15.5	
MUC6	11p15.5	4588
MUC7	4q13.3	4589
MUC8	12q24.33	100129528
MUC9		
MUC11	7q22	
MUC12	7q22.1	10071
MUC12-AS1	7q22.1	102724094
MUC13	3q21.2	56667
MUC15	11p14.2	143662
MUC16	19p13.2	94025
MUC17	7q22.1	140453
MUC19	12q12	283463
MUC20	3q29	200958
MUC20-OT1	3q29	
MUC20P1	3q29	651714
MUC21	6p21.33	394263
MUC22	6p21.33	100507679
MUCL1	12q13.2	118430
MUCL3	6p21.33	135656
MUCRX		
MUL1	1p36.12	79594
MUM1		
MUPP	9q32	100129193
MUS81	11q13	80198
MUSK	9q31.3	4593
MUSTN1	3p21.1	389125
MUTYH	1p34.1	4595
MUW53		
MVB12A	19p13.11	93343
MVB12B	9q33.3	89853
MVD	16q24.2	4597
MVK	12q24.11	4598
MVP	16p11.2	9961
MVP-DT	16p11.2	112268170
MX1	21q22.3	4599
MX1-AS1	21q22.3	
MX2	21q22.3	4600
MXD1	2p13.3	4084
MXD3	5q35.3	83463
MXD4	4p16.3	10608
MXI1	10q25.2	4601
MXRA1	reserved	
MXRA2	reserved	
MXRA3	reserved	
MXRA4	reserved	
MXRA5	Xp22.33	25878
MXRA5Y	Yq11.21	286544
MXRA6	2	
MXRA7	17q25.1	439921
MXRA7P1	2q24.2	100506055
MXRA8	1p36.33	54587
MXS1		
MYADM	19q13.42	91663
MYADM-AS1	19q13.42	105372457
MYADM-AS2	19q13.42	
MYADML	2p22.3	151325
MYADML2	17q25.3	255275
MYB	6q23.3	4602
MYB-AS1	6q22-q23	
MYBBP1A	17p13.2	10514
MYBL1	8q13.1	4603
MYBL2	20q13.12	4605
MYBPC1	12q23.2	4604
MYBPC2	19q13.33	4606
MYBPC3	11p11.2	4607
MYBPH	1q32.1	4608
MYBPHL	1p13.3	343263
MYC	8q24.21	4609
MYCBP	1p34.3	26292
MYCBP2	13q22.3	23077
MYCBP2-AS1	13q22.3	
MYCBP2-AS2	13q22.3	
MYCBPAP	17q21.33	84073
MYCL	1p34.2	4610
MYCL-AS1	1p34.2	105378668
MYCLK1	7p15	
MYCLP1	Xq22.3	4611
MYCLP2	Xp11.21	645136
MYCLP3	Xq27.3	9964
MYCN	2p24.3	4613
MYCNOS	2p24.3	10408
MYCNUT	2p24.3	103752554
MYCP	reserved	
MYCT1	6q25.2	80177
MYD88	3p22.2	4615
MYD118		
MYDGF	19p13.3	56005
MYEF2	15q21.1	50804
MYEOV	11q13.3	26579
MYETS1	13q14.3	
MYF3		
MYF5	12q21.31	4617
MYF6	12q21.31	4618
MYG1	12q13.13	60314
MYG1-AS1	12q13.13	112268097
MYG1P1	2p23.2	100420770
MYH1	17p13.1	4619
MYH2	17p13.1	4620
MYH3	17p13.1	4621
MYH4	17p13.1	4622
MYH5	7q22.1	
MYH6	14q11.2	4624
MYH7	14q11.2	4625
MYH7B	20q11.22	57644
MYH8	17p13.1	4626
MYH9	22q12.3	4627
MYH9-DT	22q12.3	105377199
MYH10	17p13.1	4628
MYH11	16p13.11	4629
MYH12		
MYH13	17p13.1	8735
MYH14	19q13.33	79784
MYH15	3q13.13	22989
MYH16	7q22.1	84176
MYHAS	17p13.1	100128560
MYHK	reserved	
MYHL	reserved	
MYL1	2q34	4632
MYL2	12q24.11	4633
MYL3	3p21.31	4634
MYL4	17q21.32	4635
MYL5	4p16.3	4636
MYL6	12q13.2	4637
MYL6B	12q13.2	140465
MYL6B-AS1	12q13.2	
MYL6BP1	2q34	100422437
MYL6P1	21q22.3	54043
MYL6P2	21q22.2	100431168
MYL6P3	10q21.3	100129561
MYL6P4	7q34	642627
MYL6P5	17q24.3	124685
MYL7	7p13	58498
MYL9	20q11.23	10398
MYL10	7q22.1	93408
MYL11	16p11.2	29895
MYL12-AS1	18p11.31	104968399
MYL12A	18p11.31	10627
MYL12AP1	8q22.1	157667
MYL12B	18p11.31	103910
MYL12BP1	15q15.2	645094
MYL12BP2	4q35.1	391722
MYL12BP3	6p21.32	442204
MYLIP	6p22.3	29116
MYLK	3q21.1	4638
MYLK-AS1	3q21.1	100506826
MYLK-AS2	3q21.1	100873940
MYLK2	20q11.21	85366
MYLK3	16q11.2	91807
MYLK4	6p25.2	340156
MYLKP1	3p12.3	9430
MYLKP2	3q21.2	100419969
MYLL1	8	
MYMK	9q34.2	389827
MYMX	6p21.1	101929726
MYMY1	3p26-p24.2	
MYMY2	17q25	
MYMY3	8q23	
MYNN	3q26.2	55892
MYO1A	12q13.3	4640
MYO1B	2q32.3	4430
MYO1B-AS1	2q32.3	
MYO1C	17p13.3	4641
MYO1D	17q11.2	4642
MYO1D-DT	17q11.2	102724715
MYO1E	15q22.2	4643
MYO1F	19p13.2	4542
MYO1G	7p13	64005
MYO1H	12q24.11	283446
MYO3A	10p12.1	53904
MYO3B	2q31.1	140469
MYO3B-AS1	2q31.1	101929753
MYO5A	15q21.2	4644
MYO5B	18q21.1	4645
MYO5BP1	9p11.2	441420
MYO5BP2	9q13	392335
MYO5BP3	9q13	441442
MYO5C	15q21.2	55930
MYO6	6q14.1	4646
MYO7A	11q13.5	4647
MYO7B	2q14.3	4648
MYO9A	15q23	4649
MYO9B	19p13.11	4650
MYO10	5p15.1	4651
MYO15A	17p11.2	51168
MYO15B	17q25.1	80022
MYO16	13q33.3	23026
MYO16-AS1	13q33.3	
MYO16-AS2	13q33.3	
MYO18A	17q11.2	399687
MYO18B	22q12.1	84700
MYO18B-AS1	22q12.1	105372963
MYO19	17q12	80179
MYOC	1q24.3	4653
MYOCD	17p12	93649
MYOCD-AS1	17p12	101928418
MYOCOS	1q24.3	110806290
MYOD1	11p15.1	4654
MYOF	10q23.33	26509
MYOG	1q32.1	4656
MYOM1	18p11.31	8736
MYOM2	8p23.3	9172
MYOM3	1p36.11	127294
MYOM3-AS1	1p36.11	107985737
MYOPARR	1q32.1	114004358
MYORG	9p13.3	57462
MYOSLID	2q33.3	105373853
MYOSLID-AS1	2q33.3	101927865
MYOT	5q31.2	9499
MYOZ1	10q22.2	58529
MYOZ2	4q26	51778
MYOZ3	5q33.1	91977
MYOZ3-AS1	5q33.1	124901109
MYP1	Xq28	
MYP2	18p11.31	
MYP3	12q21-q23	
MYP4	7q36	
MYP5	17q21-q22	
MYP6	22q12	
MYP7	11p13	
MYP8	3q26	
MYP9	4q12	
MYP10	8p23	
MYP11	4q22-q27	
MYP12	2q37.1	
MYP13	Xq23-q25	
MYP14	1p36	
MYP15	10q21.1	
MYP16	5p15.33-p15.2	
MYP17	7p15	
MYP18	14q22.1-q24.2	
MYPN	10q21.3	84665
MYPOP	19q13.32	339344
MYREM	19q13.33	
MYRF	11q12.2	745
MYRF-AS1	11q12.2	26070
MYRFL	12q15	196446
MYRIP	3p22.1	25924
MYSA	reserved	
MYSB		
MYSM1	1p32.1	114803
MYT1	20q13.33	4661
MYT1L	2p25.3	23040
MYT1L-AS1	2p25.3	730811
MYT2	reserved	
MYZAP	15q21.3	100820829
MZB1	5q31.2	51237
MZF1	19q13.43	7593
MZF1-AS1	19q13.43	100131691
MZT1	13q21.33	440145
MZT1P1	1p36.22	
MZT1P2	7q34	101929581
MZT2A	2q21.1	653784
MZT2B	2q21.1	80097
N4BP1	16q12.1	9683
N4BP2	4p14	55728
N4BP2L1	13q13.1	90634
N4BP2L2	13q13.1	10443
N4BP2L2-IT2	13q13.1	116828
N4BP3	5q35.3	23138
N6AMT1	21q21.3	29104
NA	X	
NAA10	Xq28	8260
NAA11	4q21.21	84779
NAA15	4q31.1	80155
NAA16	13q14.11	79612
NAA20	20p11.23	51126
NAA20P1	Xq26.2	107985691
NAA25	12q24.13	80018
NAA30	14q22.3	122830
NAA35	9q21.33	60560
NAA38	17p13.1	84316
NAA40	11q13.1	79829
NAA40P1	6p25.2	100129052
NAA50	3q13.31	80218
NAA50P1	11q12.1	642890
NAA50P2	3q29	
NAA60	16p13.3	79903
NAA80	3p21.31	24142
NAAA	4q21.1	27163
NAALAD2	11q14.3	10003
NAALADL1	11q13.1	10004
NAALADL2	3q26.31	254827
NAALADL2-AS1	3q26.3	
NAALADL2-AS2	3q26.3	
NAALADL2-AS3	3q26.3	
NAB1	2q32.2	4664
NAB1P1	Xq28	286456
NAB2	12q13.3	4665
NABP1	2q32.3	64859
NABP1-OT1	2q32.3	
NABP2	12q13.3	79035
NAC		
NACA	12q23-q24.1	4666
NACA2	17q23.2	342538
NACA3P	4q32.3	389240
NACA4P	8q22.3	83955
NACAD	7p13	23148
NACAP2	10q26.12	651144
NACAP5	4p15.32	645108
NACAP6	5p15.1	100132778
NACAP7	6q15	101059973
NACAP8	12q22	101928685
NACAP9	2p24.3	100421926
NACAP10	8q13.2	100132812
NACB	reserved	
NACC1	19p13.13	112939
NACC2	9q34.3	138151
NADK	1p36.33	65220
NADK2	5p13.2	133686
NADK2-AS1	5p13.2	
NADSYN1	11q13.4	55191
NAE1	16q22.1	8883
NAF1	4q32.2	92345
NAGA	22q13.2	4668
NAGK	2p13.3	55577
NAGLU	17q21.2	4669
NAGPA	16p13.3	51172
NAGPA-AS1	16p13.3	100507589
NAGR1		
NAGS	17q21.31	162417
NAIF1	9q34.11	203245
NAIP	5q13.2	4671
NAIPP1	5q13.2	728535
NAIPP2	5q13.2	728519
NAIPP3	5q13.2	643784
NAIPP4	5q13.2	653406
NALCN	13q32.3-q33.1	259232
NALCN-AS1	13q32.3	100885778
NALF1	13q33.3	728215
NALF1-IT1	13q33.3	
NALF2	Xq13.1	27112
NALT1	9q34.3	101928483
NAMA	9q22.33	100996569
NAMPT	7q22.3	10135
NAMPT-AS1	7q22.3	
NAMPTP1	10p11.21	646309
NAMPTP2	5q31.3	100132712
NAMPTP3	16p11.2	
NAMSD	Xq24-q26	
NANOG	12p13.31	79923
NANOGNB	12p13.31	360030
NANOGNBP1	2q11.2	100859926
NANOGNBP2	12q24.33	
NANOGNBP3	Xq22.1	100652831
NANOGP1	12p13.31	404635
NANOGP2	2q36.1	414131
NANOGP3	6p12.1	340217
NANOGP4	7p14.3	414132
NANOGP5	9q31.1	414133
NANOGP6	10q24.2	414134
NANOGP7	14q32.12	414130
NANOGP8	15q14	388112
NANOGP9	Xq12	349386
NANOGP10	Xp11.3	349372
NANOGP11	6q25.2	414135
NANOS1	10q26.11	340719
NANOS2	19q13.32	339345
NANOS3	19p13.12	342977
NANP	20p11.21	140838
NANS	9q22.33	54187
NANTA3		
NAP1L1	12q21.1	4673
NAP1L1P1	11q24.2	729561
NAP1L1P2	Yp11.2	100128894
NAP1L1P3	3q13.33	100130335
NAP1L2	Xq13.2	4674
NAP1L3	Xq21.32	4675
NAP1L4	11p15.4	4676
NAP1L4P1	1p13.1	728589
NAP1L4P2	Xq22.3	
NAP1L4P3	13q14.2	730174
NAP1L5	4q22.1	266812
NAP1L5P1	3q26.31	100420939
NAP1L6P	Xq13.2	645996
NAPA	19q13.33	8775
NAPA-AS1	19q13.32-q13.33	100505681
NAPB	20p11.21	63908
NAPEPLD	7q22.1	222236
NAPG	18p11.22	8774
NAPGP1	10q23.31	100288843
NAPGP2	6p21.33	100422429
NAPRT	8q24.3	93100
NAPSA	19q13.33	9476
